source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Live from New York- November 7th! @nbcsnl http://t.co/rfEE86Mbbp,10-13-2015 19:18:03,1920,4059,false,654013247931174912
Twitter for iPhone,A great new poll-33%! http://t.co/3EheiVyD5A,10-16-2015 21:28:18,1086,2031,false,655133186725408768
Twitter for iPhone,In Massachusetts --- the place is packed! #MakeAmericaGreatAgain,10-16-2015 23:17:20,1379,3581,false,655160625912520705
Twitter for iPhone,.@JebBushAt the debate you said your brother kept us safe- I wanted to be nice &amp; did not mention the WTC came down during his watch 9/11.,10-17-2015 01:07:32,3692,5541,false,655188360449925120
Twitter for iPhone,No @JebBush you’re pathetic for saying nothing happened during your brother’s term when the World Trade Center was attacked and came down.,10-17-2015 01:29:35,3717,5673,false,655193907031056384
Twitter for iPhone,.@JebBush like it or not our country needs more energy and spirit than you can provide! #MakeAmericaGreatAgain,10-17-2015 01:31:09,2166,4470,false,655194304479109120
Twitter for iPhone,Thank you @thefix for your very honest commentary. One thing we do have great teams in IA NH SC and beyond. https://t.co/ZVQiw6CpCO,10-17-2015 14:42:55,946,1899,false,655393558984290304
Twitter for iPhone,.@HillaryClinton is on the front page of the @nytimes waving to 200 people in New Hampshire. My crowd next door was 5000 people – no pic!,10-17-2015 14:47:38,3082,6427,false,655394746630844416
Twitter for iPhone,Via CNET: Donald Trump Bests Jeb Bush in Website Performance Experts Say- http://t.co/ioHAZOT8lK,10-17-2015 16:01:35,748,1552,false,655413356694761476
Twitter for iPhone,Via Business Insider: Donald Trump's Poll Dominance in 2 Key States is Mind-Blowing- http://t.co/FqIApU6gVC,10-17-2015 16:01:57,1322,2369,false,655413447178518528
Twitter for iPhone,Russia and the world has already started to respect us again!http://t.co/3hdsUtMHim,10-17-2015 21:54:45,1077,1969,false,655502231719006208
Twitter for iPhone,A great story in the New York Post ---really well written!http://t.co/ZXFte8aqYf,10-17-2015 21:55:16,1124,2074,false,655502360744185856
Twitter for iPhone,Amazing! Thank you!#MakeAmericaGreatAgain #Trump2016http://t.co/fnRIXJWCVf,10-18-2015 03:02:10,1300,2223,false,655579595949871104
Twitter for iPhone,Tonight's official count--7943. An all time record for the Anderson Civic Center in SC! Thanks! #Trump2016 https://t.co/bMJcymz1Qp,10-20-2015 00:00:38,1842,4305,false,656258688970264577
Twitter for iPhone,Will be doing a sit down interview with  @JakeTapper @CNN on Sunday morning at 9:00. Tough questions and hopefully very good answers!,10-24-2015 19:40:08,866,1795,false,658005071188348932
Twitter for iPhone,I will be doing the @TodayShow live from New Hampshire at 7am on Monday morning. #TrumpToday,10-24-2015 19:40:39,819,1813,false,658005199961894912
Twitter for iPhone,Expecting a great crowd of amazing people. Questions will be live! #TrumpToday,10-24-2015 19:41:08,754,1908,false,658005322708164608
Twitter for iPhone,.@JebBush is totally lost -- he spends too much time managing the bloated staff of his campaign &amp; not enough talking about America's future.,10-24-2015 20:42:41,1244,2643,false,658020812620984320
Twitter for iPhone,.@JebBush had a tiny 300 person crowd at Senator Tim Scott's forum. I had thousands and they had real passion! https://t.co/osBW3TM4UO,10-24-2015 20:43:25,1590,3663,false,658020994506997760
Twitter for iPhone,.@JebBush is slashing campaign salaries people making millions. If he can't manage his campaign how can he manage our countries finances?,10-24-2015 20:44:18,1748,3302,false,658021218847715328
Twitter for iPhone,An aerial shot of Jacksonville crowd yesterday! I may as well show you because the media won't. #Trump2016 https://t.co/iJf87UVMEt,10-25-2015 23:31:42,5156,10000,false,658425734424363008
Twitter for iPhone,Just out wonderful poll in North Carolina. #Trump2016 #MakeAmericaGreatAgain https://t.co/xdZGkdtNev,10-27-2015 21:46:46,1363,2884,false,659124101014007808
Twitter for iPhone,Via the Washington Post: Inside the World of Donald Trump's Super Fans: https://t.co/QL6VhkZ8pm,10-28-2015 02:46:36,698,1405,false,659199556744118273
Twitter for iPhone,Thank you Iowa! Great night---see you soon! #Trump2016 https://t.co/aCHH90cNRg,10-28-2015 03:03:35,1308,2789,false,659203832128274432
Twitter for iPhone,I'm sure the media will not report the highly respected new national poll that just came out via The Economist. 32%! https://t.co/aalSqnGHa3,10-28-2015 17:51:07,2361,3516,false,659427188110856192
Twitter for iPhone,Thank you! #GOPDebate MakeAmericaGreatAgain https://t.co/u6bJBPu30T https://t.co/UB8XqapdzZ,10-29-2015 03:25:07,2398,4543,false,659571636820013056
Twitter for iPhone,The #CNBCGOPDebate poll closed with #Trump2016 declared the official winner. Thank you! https://t.co/3mFHLcSbwD https://t.co/ZPiXAR5rFC,10-29-2015 03:27:43,3023,5843,false,659572294696603650
Twitter for iPhone,Thanks @PiersMorgan. You're great!,10-29-2015 03:32:59,610,1839,false,659573618502795264
Twitter for iPhone,Thank you Jonathan. Greatly appreciated! https://t.co/eW0qDCax8P,10-29-2015 03:55:38,658,1623,false,659579319166091264
Twitter for iPhone,Thank you Colorado! An honor to win @NBC @9News #GOPDebate Poll. https://t.co/rvnUQemej0,10-29-2015 05:53:20,949,2092,false,659608940200779776
Twitter for iPhone,Drudge Poll on who won the 3rd #GOPDebate. Thank you! https://t.co/lCdolIJMsL,10-29-2015 05:58:00,1706,3187,false,659610110940086272
Twitter for iPhone,Thank you! https://t.co/MEIiUqKeS9,10-29-2015 14:49:27,768,1595,false,659743857127456768
Twitter for iPhone,CNBC poll: Trump won #GOPDebate #MakeAmericaGreatAgain #Trump2016 https://t.co/JEyniIGJPJ https://t.co/wEdauo3Drm,10-29-2015 15:21:06,951,1791,false,659751822375018496
Twitter for iPhone,Via @Slate: Who won the #GOPDebate? https://t.co/YHsCQpG63v,10-29-2015 15:28:51,1110,2033,false,659753771791024128
Twitter for iPhone,I was #1 on Twitter -- and so positive. Thank you! https://t.co/7JBjeWt6XK,10-29-2015 20:20:58,1223,3141,false,659827285852225536
Twitter for iPhone,Post-Debate via @OANN. Thank you!#Trump2016 #MakeAmericaGreatAgain https://t.co/VHyPDZFKPZ,10-29-2015 20:23:32,1159,2145,false,659827931099754496
Twitter for iPhone,My interview on @ThisWeekABC with @GStephanopoulos had a 40%+ ratings increase over same Sunday last year. 20% over last week.,10-30-2015 01:59:22,762,1848,false,659912445922844672
Twitter for iPhone,.@ColinCowherd said such nice things about me during the debate that I thought I'd do his show @TheHerd on Monday (2:30pm EST).,10-31-2015 19:09:34,1188,2659,false,660534094493782016
Twitter for iPhone,Just left Virginia where I unveiled my healthcare and other plans for our great Veterans! They will be very happy! https://t.co/rhdiCocPyv,10-31-2015 19:11:53,1510,2882,false,660534676851974144
Twitter for iPhone,#MakeAmericaGreatAgain https://t.co/UWyANGV8IR,10-31-2015 19:24:09,2121,3528,false,660537761217314816
Twitter for iPhone,Gov. John Kasich has really failed on the campaign trail. I thought he would have been far more talented. He is just wasting time &amp; money!,11-01-2015 02:31:01,1218,2949,false,660645187874590720
Twitter for iPhone,Join me Tuesday Nov. 3rd at 12 PM in #TrumpTower in NYC. I'll be signing copies of my book CRIPPLED AMERICA. Don't miss it!,11-01-2015 18:38:00,1212,2503,false,660888538473439232
Twitter for iPhone,Join me today Nov 3rd in #TrumpTowerNYC at noon. I'll be signing copies of my new book CRIPPLED AMERICA. Don't miss it!,11-03-2015 13:52:30,740,1796,false,661541465714253824
Twitter for iPhone,I will be on @SeanHannity tonight at 10pmE talking about my new book #CrippledAmerica and much more! #MakeAmericaGreatAgain #Trump2016,11-03-2015 21:54:54,1341,2747,false,661662863023603712
Twitter for iPhone,"@seanhannity: @realDonaldTrump on sending 50 Special Ops Forces troops to Syria: This country needs to be less predictable.”,11-04-2015 05:51:46,716,1642,false,661782872798416896
Twitter for iPhone,"@SJavner: Reading Crippled America ....feeling love for our country first in it's pages. That's why I stand with TRUMP",11-04-2015 05:53:03,623,1406,false,661783193629147136
Twitter for iPhone,"@JudgeMoroz: Republicans in Congress can learn a lot from @realDonaldTrump on dealing with Obama! They should read #CrippledAmerica!",11-04-2015 05:54:19,844,1750,false,661783511393828864
Twitter for iPhone,"@svn2hd: @realDonaldTrump Crippled AMERICA is a must read. So right. Great job on another best seller.",11-04-2015 06:01:55,579,1389,false,661785427523846144
Twitter for iPhone,"@LeStudio1: DONALD TRUMP-CRIPPLED AMERICAThe new book by @realDonaldTrump is best seller in the making.",11-04-2015 06:03:16,613,1405,false,661785765790277632
Twitter for iPhone,"@peter_smells: @realDonaldTrump Just read #CrippledAmerica! Great book! I haven't felt this enthusiastic about #America since #Reagan",11-04-2015 06:07:53,710,1695,false,661786927381745664
